url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,description,pro/cal,pri/we,html_path,last_upd_time,content,weight,fetchErr
https://www.ozon.ru/product/syr-suluguni-kopchenyy-45-350-g-ozon-fresh-1946863389/,"Сыр Сулугуни копченый 45%, 350 г, Ozon Fresh",23.5,22.5,0,297,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",399,1,4.9,169,https://cdn1.ozone.ru/s3/multimedia-1-s/7435724788.jpg,"Сулугуни обладает чистым кисломолочным, умеренно солёным вкусом и ароматом копчения, плотной, слоистой, эластичной консистенцией. 
Копчение добавляет пикантный вкус сыру.

Сыр употребляется как самостоятельное блюдо в свежем и жаренном виде, добавка к салатам, сендвичам и бутербродам.",0.07912457912457913,0,,2025-06-13 10:45:32,"молоко пастеризованное, соль пищевая,  закваска (термофильные молочнокислые микроорганизмы), ферментный препарат микробного происхождения.",,
https://www.ozon.ru/product/syr-fitnes-30-200-g-ozon-fresh-1897246065/,"Сыр Фитнес 30%, 200 г, Ozon fresh",,,,280,Ozon fresh#Молочное и яйца#Сыры#Полутвердый#Ozon fresh,229,1,4.8,208,https://cdn1.ozone.ru/s3/multimedia-1-h/7411695641.jpg,,0,1.145,,2025-06-13 10:45:32,"Молоко обезжиренное пастеризованное, молоко цельное пастеризованное, соль пищевая (содержит агент антислеживающий Е536), закваска мезофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, консервант- нитрит калия",200,
https://www.ozon.ru/product/syr-polutverdyy-chedder-50-180-g-grunlander-hochland-kusok-1030035596/,"Сыр полутвердый Чеддер 50%, 180 г, Grunlander Hochland, кусок",23.50,30.50,0,369,Ozon fresh#Молочное и яйца#Сыры#Полутвердый#Grunlander,249,1,4.9,1132,https://cdn1.ozone.ru/s3/multimedia-1-5/7498991777.jpg,"Grünländer ""Чеддер ""  яркий молочный вкус для особых моментов. Производится по особой рецептуре по заказу компании Hochland  из отборных ингредиентов по технологии естественного созревания без добавления консервантов и красителей.",0.06368563685636856,1.3833333333333333,,2025-06-13 10:45:33,,180,
https://www.ozon.ru/product/napitok-vysokobelkovyy-so-vkusom-klubnika-zemlyanika-250-ml-ozon-fresh-1740839467/,"Напиток высокобелковый со вкусом клубника-земляника 250 мл, Ozon fresh",12,0.50,5,73,"Ozon fresh#Молочное и яйца#Кефир, творог и сметана#Кефир, ряженка#Ozon fresh",145,1,4.7,342,https://cdn1.ozone.ru/s3/multimedia-1-j/7330495975.jpg,,0.1643835616438356,0.58,,2025-06-13 10:45:33,"обезжиренное молоко, концентрат сывороточного белка, ароматизатор натуральный (клубника), ароматизатор натуральный (земляника), подсластитель (сукралоза), витамины (В6, С, D3, Е), заквасочная культура.",250,
https://www.ozon.ru/product/napitok-vysokobelkovyy-so-vkusom-vanili-250-ml-ozon-fresh-1740839429/,"Напиток высокобелковый со вкусом ванили 250 мл, Ozon fresh",12,0.50,5,73,"Ozon fresh#Молочное и яйца#Кефир, творог и сметана#Кефир, ряженка#Ozon fresh",145,1,4.6,307,https://cdn1.ozone.ru/s3/multimedia-1-b/7330496003.jpg,,0.1643835616438356,0.58,,2025-06-13 10:45:33,"обезжиренное молоко, концентрат сывороточного белка, ароматизатор натуральный (ваниль), подсластитель (сукралоза), витамины (В6, С, D3, Е), заквасочная культура.",250,
https://www.ozon.ru/product/syr-polutverdyy-50-400-g-grunlander-hochland-kusok-269861095/,"Сыр полутвердый 50% 400 г, Grunlander Hochland, кусок",23.7,30,0,365,Ozon fresh#Молочное и яйца#Сыры#Полутвердый#Grunlander,449,1,4.9,3978,https://cdn1.ozone.ru/s3/multimedia-1-d/7498991245.jpg,"Сыр Hochland Грюнландер полутвердый, кусок, 50%, 400 г – это универсальный полутвердый сыр с мягким сливочным вкусом, который отлично подойдет для приготовления завтраков, а также холодных и горячих блюд для всей семьи. 

Сыр Grünländer производится по технологии естественного созревания из отборных ингредиентов: молока и натуральных заквасок без добавления консервантов. Он зреет ровно столько, сколько определено традициями и природой. Именно поэтому сыр получается таким вкусным. Естественно созревает- естественно вкусно! 

Готовьте с сыром аппетитные закуски, брускетты на зерновом хлебе с медом, грецким орехом и прошутто. Полутвердый сыр прекрасно дополнит горячие блюда, например говядину в прованском стиле с луком, помидорами, чесноком и оливками, а также холодные салаты с курицей и ананасами или с помидорами черри, брокколи, лимоном и авокадо. 

Полутвердый сливочный сыр особенно незаменим для завтраков. Бутерброды, тосты и омлеты с добавлением сыра – насыщенный и быстрый завтрак готов. 

А благодаря уникальной удобной упаковке сыр Грюнландер 400 г сохраняет вкусовые характеристики и аромат как можно дольше. ",0.06493150684931506,1.1225,,2025-06-13 10:45:33,"Молоко нормализованное пастеризованное, соль, уплотнитель хлорид кальция, заквасочная культура молочнокислых микроорганизмов (Lactococcus lactis), молокосвертывающий ферментный препарат микробного происхождения, краситель каротины.",400,
https://www.ozon.ru/product/syr-rassolnyy-kosichka-45-100-g-ozon-fresh-kopchenyy-1870521320/,"Сыр рассольный Косичка 45%, 100 г, Ozon fresh, копченый",22,21,0,236,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",149,1,4.8,898,https://cdn1.ozone.ru/s3/multimedia-1-f/7350663291.jpg,,0.09322033898305085,1.49,,2025-06-13 10:45:34,"молоко нормализованное пастеризованное, соль пищевая, закваска бактериальная молочнокислых культур, препарат ферментный молокосвертывающий микробного происхождения",100,
https://www.ozon.ru/product/syr-myagkiy-motsarella-dlya-pitstsy-40-250-g-ozon-fresh-1851032869/,"Сыр мягкий Моцарелла для пиццы 40%, 250 г, Ozon Fresh",13,16,2,190,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",269,1,4.9,1758,https://cdn1.ozone.ru/s3/multimedia-1-w/7297698836.jpg,,0.06842105263157895,0,,2025-06-13 10:45:34,"Молоко нормализованное пастеризованное, соль пищевая, регулятор кислотности – лимонная кислота, фермент молокосвертывающий микробиального происхождения",,
https://www.ozon.ru/product/kefir-2-5-930-g-selo-zelenoe-146215082/,"Кефир 2,5%, 930 г, Село Зеленое",,,,51,"Ozon fresh#Молочное и яйца#Кефир, творог и сметана#Кефир, ряженка#Село Зеленое",119,1,4.9,2748,https://cdn1.ozone.ru/s3/multimedia-1-0/7361855820.jpg,,0,0,,2025-06-13 10:45:34,"олоко коровье цельное, молоко коровье обезжиренное, закваска на кефирных грибках.",,
https://www.ozon.ru/product/syr-bri-s-tryufelem-ozon-fresh-s-beloy-plesenyu-50-100-g-1740744988/,"Сыр Бри с трюфелем  Ozon fresh, с белой плесенью, 50%, 100 г",18,23,0,280,"Ozon fresh#Молочное и яйца#Сыры#Мягкий, творожный#Ozon fresh",256,1,4.8,561,https://cdn1.ozone.ru/s3/multimedia-1-l/7302699189.jpg,Мягкий сыр Брис трюфелем,0.06428571428571428,2.56,,2025-06-13 10:45:34,"Молоко пастеризованное, мезофильные заквасочные культуры, культуры плесеней (Penicillium candidum, Geotrichum candidum), молокосвертывающий ферментный препарат микробного происхождения, соль пищевая, уплотнитель хлорид кальция, соус (сальса) грибной с трюфелем (шампиньоны 50%, трюфель летний черный 7%, оливковое масло первого холодного отжима, черные оливки, подсолнечное масло, соль, пряности).",100,
