url,availability
https://www.ozon.ru/product/salat-krabovyy-creative-kitchen-250-g-284200291/,1
https://www.ozon.ru/product/stripsy-kurinye-s-kartofelnym-pyure-250-g-i-like-eat-1485413284/,1
https://www.ozon.ru/product/damskiy-kapriz-150-g-fresh-secret-2086645369/,1
https://www.ozon.ru/product/funchoza-s-govyadinoy-i-ovoshchami-v-ustrichnom-souse-250-g-ozon-fresh-1803436749/,1
https://www.ozon.ru/product/sup-ramen-320-g-ozon-fresh-2062858904/,1
https://www.ozon.ru/product/vareniki-s-kartofelem-i-lukom-so-smetanoy-200-g-creative-kitchen-1670307288/,1
https://www.ozon.ru/product/testo-dlya-cheburekov-500-g-testov-619302977/,1
https://www.ozon.ru/product/syrniki-creative-kitchen-s-vishnevoy-nachinkoy-2-sht-140-g-2086645549/,1
https://www.ozon.ru/product/oladi-pechenochnye-150-g-creative-kitchen-608348158/,1
https://www.ozon.ru/product/blinchiki-s-makovoy-nachinkoy-azbuka-vkusa-160-g-227742271/,1
https://www.ozon.ru/product/draniki-kartofelnye-s-sousom-tartar-140-g-creative-kitchen-2086645452/,1
https://www.ozon.ru/product/syrniki-zoopark-lapki-250-g-kotmarkot-2086645499/,1
https://www.ozon.ru/product/syrniki-creative-kitchen-s-vishnevoy-nachinkoy-2-sht-140-g-284200231/,1
https://www.ozon.ru/product/onigiri-s-forelyu-spaysi-100-g-i-like-eat-2086645448/,1
https://www.ozon.ru/product/salat-seld-pod-shuboy-400-g-creative-kitchen-183475604/,1
https://www.ozon.ru/product/salat-mimoza-250-g-creative-kitchen-284200358/,1
https://www.ozon.ru/product/lapsha-domashnyaya-lagmannaya-500-g-testov-619302978/,1
https://www.ozon.ru/product/kasha-druzhba-iz-pshena-i-risa-250-g-creative-kitchen-1615340994/,1
https://www.ozon.ru/product/kotlety-rybnye-domashnie-s-pyure-creative-kitchen-230-g-2086645496/,1
https://www.ozon.ru/product/sup-lapsha-s-kuritsey-300-g-creative-kitchen-2086645493/,1
https://www.ozon.ru/product/funchoza-s-ovoshchami-po-koreyski-azbuka-vkusa-200-g-227742155/,0
https://www.ozon.ru/product/shnitsel-kurinyy-s-kartofelnym-pyure-250-g-ozon-fresh-1062697757/,1
https://www.ozon.ru/product/keto-syrniki-140-g-azbuka-vkusa-life-pro-bez-glyutena-i-sahara-1198822529/,1
https://www.ozon.ru/product/golubtsy-lenivye-250-g-fresh-secret-1180963540/,1
https://www.ozon.ru/product/chiabatta-s-kurinym-file-165-g-miratorg-317062192/,1
https://www.ozon.ru/product/frikadelki-s-grechkoy-pod-krasnym-sousom-260-g-miratorg-805805666/,1
https://www.ozon.ru/product/zapekanka-200-g-creative-kitchen-284200344/,1
https://www.ozon.ru/product/kasha-gerkulesovaya-na-vode-s-yablokom-koritsey-i-medom-300-g-ozon-fresh-1999264576/,1
https://www.ozon.ru/product/testo-dlya-lazani-i-goryachih-blyud-500-g-testov-619302984/,1
https://www.ozon.ru/product/kompleksnyy-obed-kotleta-po-kievski-makarony-salat-olive-hleb-435-g-domashniy-ochag-1364990869/,1
https://www.ozon.ru/product/syrniki-s-varenym-sgushchennym-molokom-creative-kitchen-120-g-1430225836/,1
https://www.ozon.ru/product/solyanka-sbornaya-myasnaya-creative-kitchen-300-g-284200355/,1
https://www.ozon.ru/product/pechen-kurinaya-s-kartofelnym-pyure-250-g-domashniy-ochag-1615962910/,1
https://www.ozon.ru/product/salat-olive-creative-kitchen-250-g-2086645495/,1
https://www.ozon.ru/product/sup-s-kurinymi-frikadelkami-i-pastoy-300-g-ozon-fresh-2086645533/,1
https://www.ozon.ru/product/grechotto-so-slivkami-gribami-i-syrom-200-g-creative-kitchen-569222880/,1
https://www.ozon.ru/product/humus-vyalenye-pomidory-i-provanskie-travy-amfud-200-g-642502818/,1
https://www.ozon.ru/product/hot-dog-datskiy-135-g-ozon-fresh-2062858700/,1
https://www.ozon.ru/product/roll-kaliforniya-250-g-yumi-2086645386/,1
https://www.ozon.ru/product/borshch-s-kuritsey-ozon-fresh-300-g-1742481462/,1
https://www.ozon.ru/product/kasha-pshennaya-s-tykvoy-250-g-creative-kitchen-400767125/,1
https://www.ozon.ru/product/syrniki-bez-sahara-zapechennye-140-g-azbuka-vkusa-227742416/,1
https://www.ozon.ru/product/kotleta-kurinaya-s-kartofelnym-pyure-250-g-ozon-fresh-1062698286/,1
https://www.ozon.ru/product/kesadilya-kurinaya-220-g-ozon-fresh-2062858696/,1
https://www.ozon.ru/product/krem-sup-iz-lesnyh-gribov-ozon-fresh-270-g-2086645546/,1
https://www.ozon.ru/product/sendvich-roll-s-gorbushey-goryachego-kopcheniya-155-g-ozon-fresh-1999289651/,1
https://www.ozon.ru/product/pasta-karbonara-210-g-shokoladnitsa-2086645507/,1
https://www.ozon.ru/product/oladushki-domashnie-260-g-miratorg-652830895/,1
https://www.ozon.ru/product/oladi-iz-tykvy-so-smetannym-sousom-135-g-creative-kitchen-1315596699/,1
https://www.ozon.ru/product/kasha-ovsyanaya-molochnaya-s-klubnikoy-i-keshyu-250-g-creative-kitchen-284200243/,1
https://www.ozon.ru/product/oladi-pechenochnye-150-g-creative-kitchen-1062697799/,1
https://www.ozon.ru/product/shaurma-s-kuritsey-170-g-ozon-fresh-1062697486/,1
https://www.ozon.ru/product/salat-krabovyy-creative-kitchen-250-g-2086645521/,1
https://www.ozon.ru/product/sup-pyure-iz-brokkoli-250-g-creative-kitchen-608348149/,1
https://www.ozon.ru/product/sup-svekolnik-creative-kitchen-250-g-629462403/,1
https://www.ozon.ru/product/chiabatta-s-kuritsey-i-sousom-gurme-160-g-kulinarium-1714070040/,1
https://www.ozon.ru/product/gribnoy-krem-sup-300-g-ozon-fresh-1650444557/,1
https://www.ozon.ru/product/humus-retsept-iz-nazareta-300-g-sababa-143376557/,1
https://www.ozon.ru/product/risovaya-kasha-na-kokosovom-moloke-220-g-creative-kitchen-1615341081/,1
https://www.ozon.ru/product/file-zharenogo-mintaya-pod-marinadom-250-g-creative-kitchen-2086645470/,1
https://www.ozon.ru/product/roll-kaliforniya-250-g-yumi-1979919353/,1
https://www.ozon.ru/product/konvertiki-s-krem-chizom-i-malinoy-140-g-creative-kitchen-1604929442/,1
https://www.ozon.ru/product/sup-gorohovyy-s-kopchenostyami-300-g-ozon-fresh-2086645556/,1
https://www.ozon.ru/product/lenivye-vareniki-so-slivochnym-maslom-200-g-duckit-1976377145/,1
https://www.ozon.ru/product/syrniki-gonochnye-mashinki-so-sgushchennym-molokom-170-g-kotmarkot-2059794658/,1
https://www.ozon.ru/product/kasha-pshennaya-s-tykvoy-250-g-creative-kitchen-2086645536/,1
https://www.ozon.ru/product/kapusta-tushenaya-s-sosiskami-220-g-azbuka-vkusa-227742001/,1
https://www.ozon.ru/product/sup-harcho-300-g-ozon-fresh-2086645538/,1
https://www.ozon.ru/product/salat-olive-s-kolbasoy-250-g-ozon-fresh-397356423/,1
https://www.ozon.ru/product/svekla-s-mayonezom-i-chesnokom-250-g-azbuka-vkusa-227742015/,0
https://www.ozon.ru/product/roll-simfoniya-s-krevetkoy-tempura-180-g-yumi-2086645377/,1
https://www.ozon.ru/product/salat-bavarskiy-s-vetchinoy-200-g-kak-vkusno-2086645436/,1
https://www.ozon.ru/product/salat-tsezar-s-klassicheskoy-zapravkoy-190-g-belaya-dacha-877162051/,1
https://www.ozon.ru/product/befstroganov-iz-govyadiny-s-kartofelnym-pyure-280-g-creative-kitchen-2086645476/,1
https://www.ozon.ru/product/onigiri-s-krevetkoy-110-g-i-like-eat-2086645457/,1
https://www.ozon.ru/product/sup-pyure-syrnyy-s-krevetkami-azbuka-vkusa-270-g-711533852/,1
https://www.ozon.ru/product/funchoza-s-govyadinoy-i-ovoshchami-v-ustrichnom-souse-250-g-ozon-fresh-2086645560/,1
https://www.ozon.ru/product/pasta-fettuchine-s-dobavleniem-yaytsa-solo-fresco-250-g-1080135710/,1
https://www.ozon.ru/product/borshch-s-govyadinoy-300-g-ozon-fresh-2086645523/,1
